,Team,Season,Venue,Wins,Loss,Win%,FT Made,FT Att,FT%,Win Rnk,Loss Rnk,Win% Rnk,FT Made Rnk,FT ATT Rnk,FT% Rnk
114,Portland Trail Blazers,2013-14,Road,23,18,0.561,801,993,0.807,4,4,4,6,8,2
115,Sacramento Kings,2013-14,Road,11,30,0.268,822,1098,0.749,25,25,25,3,4,18
116,San Antonio Spurs,2013-14,Road,30,11,0.732,668,844,0.791,1,1,1,22,24,3
117,Toronto Raptors,2013-14,Road,22,19,0.537,751,970,0.774,8,8,8,8,11,8
118,Utah Jazz,2013-14,Road,9,32,0.22,642,877,0.732,26,26,26,25,22,21
119,Washington Wizards,2013-14,Road,22,19,0.537,597,843,0.708,8,8,8,29,25,29
120,Atlanta Hawks,2014-15,Home,35,6,0.854,671,855,0.785,2,2,2,22,24,5
121,Boston Celtics,2014-15,Home,21,20,0.512,617,809,0.763,18,18,18,28,29,11
122,Brooklyn Nets,2014-15,Home,19,22,0.463,697,942,0.74,21,21,21,17,16,22
123,Charlotte Hornets,2014-15,Home,19,22,0.463,706,960,0.735,21,21,21,14,15,23
